1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.806921	0.000000	17.569217	0.028659	173.5
1	-0.795917	0.000000	17.569217	0.015089	10.8
2	-0.806838	0.000000	17.569217	0.007180	11.6
3	-0.829662	0.000000	17.569217	0.012202	7.3
4	-0.819040	0.617867	17.067066	0.008535	5.7
5	-0.819864	1.613691	16.315495	0.013284	6.9
6	-0.801796	1.102408	16.692912	0.009038	9.5
7	-0.821931	0.508031	17.154223	0.008859	8.9
8	-0.798267	0.000000	17.569217	0.006762	9.1
9	-0.808104	0.761102	16.954727	0.006932	5.7
10	-0.786748	1.002148	16.768979	0.013303	5.1
11	-0.802231	1.982034	16.053999	0.007301	8.2
12	-0.846916	2.149637	15.937769	0.015629	4.6
13	-0.814280	1.558906	16.355117	0.006929	4.7
14	-0.813003	2.493041	15.704802	0.008067	4.5
15	-0.798990	1.938144	16.084717	0.008560	4.2
16	-0.802510	1.380688	16.485353	0.008305	4.7
17	-0.827833	2.317142	15.823275	0.005838	4.4
18	-0.815613	3.196747	15.248064	0.012431	4.7
19	-0.807785	4.116651	14.689600	0.005818	4.6
20	-0.819768	3.529333	15.041320	0.008598	9.6
21	-0.801049	4.278245	14.595695	0.001673	3.3
22	-0.820559	4.262156	14.604991	0.009501	3.6
23	-0.794987	3.976177	14.772219	0.007033	3.8
24	-0.809523	3.747959	14.908444	0.009529	3.6
25	-0.805013	3.910960	14.810893	0.012395	4.2
26	-0.815846	4.905097	14.242508	0.005599	3.5
27	-0.786668	5.810576	13.761493	0.006112	3.2
28	-0.813895	5.435600	13.956693	0.001722	3.6
29	-0.833462	5.582151	13.879748	0.010191	3.9
30	-0.818315	5.242298	14.059499	0.005559	3.4
31	-0.799971	4.703748	14.354076	0.005646	3.3
32	-0.813241	4.880948	14.255797	0.006504	4.1
33	-0.833183	4.853288	14.271049	0.010925	4.1
34	-0.831622	4.478803	14.480804	0.006939	4.3
35	-0.819726	5.399306	13.975881	0.005983	4.1
36	-0.812124	5.928018	13.701475	0.004618	4.4
37	-0.805207	5.731297	13.802306	0.014898	4.8
38	-0.803961	6.475348	13.428531	0.003787	5.2
39	-0.822852	5.933393	13.698740	0.012538	4.4
40	-0.812980	5.508817	13.918145	0.017577	4.0
41	-0.810755	6.508451	13.412371	0.012626	4.3
42	-0.835944	7.508208	12.942012	0.016933	4.2
43	-0.825960	8.507723	12.503627	0.003551	4.1
44	-0.850297	8.663387	12.438012	0.008463	4.0
45	-0.844916	8.360448	12.566346	0.009461	3.5
46	-0.821536	9.040735	12.281775	0.016256	3.6
47	-0.818748	10.039840	11.886451	0.007675	3.3
48	-0.803720	11.037090	11.516450	0.012211	4.7
49	-0.808190	11.840304	11.234779	0.005884	4.2
50	-0.837565	11.276305	11.431096	0.015388	4.1
51	-0.833066	10.708310	11.635863	0.008644	4.2
52	-0.815809	11.480024	11.359399	0.011534	4.6
53	-0.829439	12.441706	11.032737	0.005572	4.2
54	-0.832493	13.079815	10.826161	0.002506	4.6
55	-0.818120	13.403941	10.724165	0.006186	3.5
56	-0.780825	13.739130	10.620691	0.015095	3.4
57	-0.801482	13.150464	10.803764	0.008193	3.5
58	-0.839674	12.555420	10.995349	0.002793	3.4
59	-0.842435	12.395558	11.047983	0.002455	3.6
60	-0.800052	12.509346	11.010467	0.006315	3.0
61	-0.827172	12.219630	11.106492	0.002968	3.7
62	-0.827864	12.013806	11.175735	0.009743	3.2
63	-0.811119	11.595764	11.319064	0.009784	3.2
64	-0.789282	11.000640	11.529568	0.004082	3.0
65	-0.808144	10.890414	11.569419	0.011066	3.0
66	-0.822698	10.784045	11.608137	0.008343	4.3
67	-0.821245	10.192887	11.828131	0.006939	3.7
68	-0.824633	11.094426	11.495876	0.005987	3.1
69	-0.814501	11.342654	11.407646	0.011310	3.5
70	-0.828445	10.757166	11.617962	0.007876	3.6
71	-0.813781	10.190379	11.829082	0.003997	3.5
72	-0.807037	9.872523	11.950872	0.006971	3.5
73	-0.842352	10.202913	11.824330	0.005904	3.3
74	-0.822145	9.714368	12.012409	0.008001	3.4
75	-0.804380	10.589503	11.679625	0.005352	3.8
76	-0.835509	11.395921	11.388889	0.005404	3.4
77	-0.804620	11.099052	11.494220	0.006486	3.6
78	-0.835796	10.641066	11.660592	0.004753	3.4
79	-0.846168	10.521499	11.704823	0.010517	3.8
80	-0.824414	10.498075	11.713527	0.007934	3.7
81	-0.814805	11.476594	11.360599	0.003334	3.7
82	-0.803763	11.647801	11.301023	0.013618	3.5
83	-0.847645	12.191692	11.115840	0.006123	3.7
84	-0.801285	11.607503	11.314990	0.002882	3.8
85	-0.819677	11.781350	11.254983	0.003883	3.6
86	-0.798348	11.643660	11.302457	0.008899	3.6
87	-0.807883	12.360510	11.059590	0.006000	3.5
88	-0.816660	12.215748	11.107790	0.005932	3.6
