1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.710155	0.000000	6.233226	0.018434	83.1
1	-0.711140	0.000000	6.233226	0.012570	3.6
2	-0.706427	0.000000	6.233226	0.001834	3.6
3	-0.702842	0.000000	6.233226	0.030585	2.9
4	-0.714805	0.000000	6.233226	0.008534	3.3
5	-0.727832	0.000000	6.233226	0.012375	3.5
6	-0.726968	0.031026	6.224031	0.015532	3.6
7	-0.726262	0.000000	6.233226	0.020816	3.6
8	-0.700072	0.329135	6.137040	0.009688	6.8
9	-0.718916	0.000000	6.233226	0.014752	3.3
10	-0.692374	0.124772	6.196410	0.006174	3.0
11	-0.732465	0.064449	6.214155	0.016937	3.9
12	-0.724253	0.000000	6.233226	0.012226	3.1
13	-0.719467	0.613671	6.056248	0.009673	3.1
14	-0.715868	0.581191	6.065363	0.019398	3.4
15	-0.710358	0.682987	6.036887	0.018003	3.3
16	-0.681874	1.603097	5.791142	0.010325	3.4
17	-0.710348	1.717479	5.761984	0.017836	3.4
18	-0.719934	2.111479	5.663755	0.007967	7.4
19	-0.699680	1.881628	5.720648	0.009300	3.0
20	-0.701945	2.028836	5.684080	0.007868	3.3
21	-0.714858	2.121650	5.661263	0.005061	3.4
22	-0.699581	2.153260	5.653534	0.025544	3.0
23	-0.731678	2.009487	5.688860	0.004460	3.4
24	-0.706460	1.972668	5.697978	0.014742	3.4
25	-0.737187	2.014557	5.687607	0.026976	3.4
26	-0.715297	2.929256	5.470197	0.005324	3.4
27	-0.724336	3.394414	5.365890	0.008237	3.4
28	-0.731913	3.561575	5.329371	0.018594	3.5
29	-0.721683	4.016408	5.232476	0.008921	3.4
30	-0.727864	4.212429	5.191794	0.011876	3.0
31	-0.727155	4.478527	5.137571	0.012737	3.0
32	-0.707581	4.150622	5.204553	0.004766	3.6
33	-0.730313	3.996596	5.236623	0.020367	3.3
34	-0.706131	4.059786	5.223419	0.034033	3.5
35	-0.726326	5.056033	5.023702	0.004930	3.8
36	-0.720825	4.873992	5.059047	0.008831	3.5
37	-0.702433	4.756756	5.082074	0.003039	3.4
38	-0.701134	4.779180	5.077654	0.010536	2.9
39	-0.715665	4.666615	5.099923	0.005275	3.7
40	-0.712265	4.639125	5.105391	0.002956	3.1
41	-0.696826	4.599001	5.113393	0.008525	3.3
42	-0.705688	4.635016	5.106209	0.007745	3.3
43	-0.710623	4.636622	5.105889	0.009396	3.6
44	-0.707725	4.491685	5.134919	0.026635	3.4
45	-0.698303	5.136504	5.008235	0.009397	3.2
46	-0.720385	5.496610	4.940170	0.003932	3.0
47	-0.719115	5.359360	4.965893	0.024615	3.3
48	-0.723983	5.242986	4.987914	0.024354	3.2
49	-0.716751	5.923306	4.861875	0.006168	3.6
50	-0.712643	5.815618	4.881400	0.022392	3.4
51	-0.720509	5.793950	4.885347	0.013824	3.3
52	-0.726758	6.615993	4.739926	0.017372	3.4
53	-0.698355	7.333044	4.619968	0.007956	3.5
54	-0.714689	7.530570	4.587982	0.013722	3.5
55	-0.733664	7.825743	4.541002	0.003510	3.3
56	-0.728626	7.776698	4.548741	0.006249	3.5
57	-0.708657	7.733574	4.555568	0.020174	3.4
58	-0.690736	7.398229	4.609363	0.011439	3.4
59	-0.704583	6.852325	4.699706	0.010919	3.8
60	-0.721237	7.188401	4.643674	0.007408	4.0
61	-0.740657	7.051311	4.666368	0.027157	3.5
62	-0.715157	6.739390	4.718840	0.011410	3.3
63	-0.715827	6.128823	4.825044	0.005897	3.5
64	-0.683292	5.996843	4.848632	0.001701	3.4
65	-0.730479	5.977653	4.852081	0.004485	12.9
66	-0.698424	5.974112	4.852718	0.016880	3.4
67	-0.702058	6.282039	4.797946	0.011242	3.3
68	-0.738394	6.071045	4.835342	0.013929	3.5
69	-0.694480	6.087275	4.832444	0.022316	3.4
70	-0.696358	6.741124	4.718545	0.015232	3.3
71	-0.722995	7.611675	4.574977	0.016102	3.2
72	-0.728560	8.110800	4.496536	0.023051	6.4
73	-0.732386	7.486405	4.595096	0.004450	3.4
74	-0.699683	7.674429	4.564964	0.010620	3.0
75	-0.675971	7.683889	4.563459	0.009915	3.6
76	-0.684737	7.749387	4.553062	0.009132	3.0
77	-0.714977	7.778107	4.548518	0.020160	3.4
78	-0.724107	8.227474	4.478586	0.007358	3.5
