1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.337644	0.000000	34.573000	0.008765	75.0
1	-0.328783	0.000000	34.573000	0.007002	3.5
2	-0.325742	0.000000	34.573000	0.006732	3.7
3	-0.336289	0.000000	34.573000	0.007367	3.5
4	-0.314613	0.000000	34.573000	0.007038	3.6
5	-0.334563	0.000000	34.573000	0.009068	3.8
6	-0.338967	0.000000	34.573000	0.006789	3.1
7	-0.355858	0.000000	34.573000	0.011846	3.4
8	-0.334665	0.000000	34.573000	0.011120	3.6
9	-0.351589	0.000000	34.573000	0.011752	4.0
10	-0.340612	0.000000	34.573000	0.009536	3.6
11	-0.337298	0.000000	34.573000	0.012921	3.2
12	-0.345036	0.000000	34.573000	0.013354	3.7
13	-0.357615	0.000000	34.573000	0.011412	3.1
14	-0.353703	0.000000	34.573000	0.011452	3.6
15	-0.365739	0.000000	34.573000	0.009470	3.9
16	-0.356226	0.000000	34.573000	0.011382	4.2
17	-0.339028	0.000000	34.573000	0.009115	3.6
18	-0.388562	0.000000	34.573000	0.010884	3.4
19	-0.371422	0.000000	34.573000	0.011160	3.6
20	-0.380892	0.000000	34.573000	0.011872	3.8
21	-0.389533	0.000000	34.573000	0.015241	3.5
22	-0.392004	0.000000	34.573000	0.008685	4.4
23	-0.408921	0.000000	34.573000	0.014471	3.4
24	-0.403775	0.000000	34.573000	0.018011	3.3
25	-0.424127	0.000000	34.573000	0.014672	3.0
26	-0.393187	0.000000	34.573000	0.017340	3.4
27	-0.426832	0.000000	34.573000	0.014559	3.4
28	-0.416938	0.000000	34.573000	0.013022	3.5
29	-0.444474	0.000000	34.573000	0.012613	3.5
30	-0.435014	0.000000	34.573000	0.013458	3.6
31	-0.444412	0.000000	34.573000	0.017217	3.6
32	-0.470666	0.000000	34.573000	0.016463	3.8
33	-0.443793	0.000000	34.573000	0.018004	3.7
34	-0.470006	0.000000	34.573000	0.015110	3.6
35	-0.494468	0.000000	34.573000	0.016463	3.3
36	-0.503430	0.000000	34.573000	0.019085	3.5
37	-0.498359	0.000000	34.573000	0.020296	3.7
38	-0.503863	0.000000	34.573000	0.021264	3.3
39	-0.540332	0.000000	34.573000	0.019656	3.0
40	-0.530460	0.000000	34.573000	0.022712	3.5
41	-0.561498	0.000000	34.573000	0.019316	3.4
42	-0.592722	0.000000	34.573000	0.020090	3.1
43	-0.575156	0.000000	34.573000	0.020276	3.5
44	-0.586858	0.000000	34.573000	0.024095	3.5
45	-0.613379	0.000000	34.573000	0.023945	3.0
46	-0.622649	0.000000	34.573000	0.020354	3.8
47	-0.678708	0.000000	34.573000	0.023749	3.1
48	-0.649951	0.000000	34.573000	0.026766	3.4
49	-0.689581	0.000000	34.573000	0.022296	3.5
50	-0.704846	0.000000	34.573000	0.021218	3.5
51	-0.726458	0.000000	34.573000	0.025409	3.3
52	-0.753189	0.000000	34.573000	0.021456	3.4
53	-0.776147	0.000000	34.573000	0.024770	3.4
54	-0.776330	0.000000	34.573000	0.018095	3.3
55	-0.789445	0.000000	34.573000	0.019896	3.1
56	-0.801073	0.000000	34.573000	0.016360	3.5
57	-0.797830	0.000000	34.573000	0.018249	3.4
58	-0.810513	0.000000	34.573000	0.019339	2.9
59	-0.825503	0.000000	34.573000	0.013524	3.4
60	-0.844348	0.000000	34.573000	0.016752	3.4
61	-0.856286	0.000000	34.573000	0.017629	3.5
62	-0.866656	0.000000	34.573000	0.020630	3.0
63	-0.862280	0.000000	34.573000	0.014602	3.3
64	-0.879708	0.000000	34.573000	0.015535	7.2
65	-0.902640	0.000000	34.573000	0.014429	3.5
66	-0.898040	0.000000	34.573000	0.017585	3.5
67	-0.900496	0.000000	34.573000	0.017071	3.5
68	-0.895553	0.000000	34.573000	0.015050	3.0
69	-0.911869	0.000000	34.573000	0.009949	3.4
70	-0.894071	0.000000	34.573000	0.011252	3.1
71	-0.929924	0.000000	34.573000	0.015056	3.1
72	-0.943127	0.000000	34.573000	0.009524	3.6
73	-0.923414	0.000000	34.573000	0.010223	3.4
74	-0.905112	0.000000	34.573000	0.011371	3.5
75	-0.925362	0.000000	34.573000	0.014990	2.9
76	-0.909039	1.000000	33.001500	0.011376	3.0
77	-0.929809	0.585938	33.634536	0.011699	3.5
78	-0.930044	0.157601	34.315470	0.005671	3.5
79	-0.953772	0.061663	34.471779	0.005290	3.5
80	-0.939813	0.000000	34.573000	0.006444	3.1
81	-0.969854	0.000000	34.573000	0.007026	3.6
82	-0.936384	0.000000	34.573000	0.005739	4.0
83	-0.939791	0.000000	34.573000	0.006978	3.1
84	-0.936969	0.000000	34.573000	0.004267	3.4
85	-0.919479	0.000000	34.573000	0.002139	3.4
86	-0.915609	0.532239	33.718417	0.004667	3.2
87	-0.962043	1.247154	32.634872	0.004469	3.7
88	-0.945590	2.223288	31.263144	0.004672	3.6
89	-0.961252	3.073007	30.159631	0.004406	4.0
90	-0.960082	3.383289	29.775844	0.007093	3.8
91	-0.957233	2.956545	30.306249	0.001946	3.9
92	-0.923830	3.717999	29.372645	0.005717	3.5
93	-0.926236	3.397381	29.758646	0.002313	3.6
94	-0.941105	4.203740	28.806559	0.004701	3.6
95	-0.908904	3.866321	29.197443	0.006617	3.9
96	-0.919717	4.863402	28.071829	0.006482	4.1
97	-0.940350	4.700054	28.250252	0.006304	3.4
98	-0.934487	4.665004	28.288832	0.006626	3.6
99	-0.942298	4.236703	28.768933	0.005180	3.4
100	-0.941506	3.809213	29.264652	0.002967	3.3
101	-0.939946	4.736570	28.210169	0.002782	3.4
