1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
167	-0.636649	17.780945	2.291306	0.007513	3.4
168	-0.663454	17.748534	2.293223	0.026568	15.8
169	-0.638729	17.748104	2.293248	0.006479	3.4
170	-0.637949	17.772543	2.291803	0.025157	3.6
171	-0.646961	17.684846	2.296998	0.034244	3.5
172	-0.643461	18.552700	2.246598	0.011884	3.5
173	-0.622440	19.001204	2.221409	0.019026	3.4
174	-0.636355	18.852033	2.229724	0.025529	3.3
175	-0.626892	19.189610	2.210995	0.020582	3.5
176	-0.641491	19.044528	2.219005	0.020233	3.4
177	-0.649305	19.207954	2.209986	0.018104	3.6
178	-0.632386	19.455231	2.196478	0.034089	3.4
179	-0.634787	20.033487	2.165525	0.022334	3.5
180	-0.649464	19.548623	2.191419	0.001693	3.0
181	-0.644194	19.517403	2.193108	0.010251	3.4
182	-0.619408	19.508189	2.193606	0.023086	3.5
183	-0.625762	19.367403	2.201257	0.044909	3.5
184	-0.637833	20.290084	2.152067	0.008353	3.4
185	-0.658662	20.113087	2.161332	0.027022	3.0
186	-0.655236	20.115034	2.161229	0.048206	3.6
187	-0.634343	21.056079	2.112870	0.019703	3.5
188	-0.637512	21.584341	2.086660	0.020404	3.4
189	-0.623946	21.960657	2.068381	0.013699	3.5
190	-0.658016	22.124052	2.060544	0.019269	3.5
191	-0.657193	21.981465	2.067380	0.007352	3.6
192	-0.625032	22.169095	2.058394	0.027815	3.4
193	-0.631346	22.138347	2.059861	0.010706	3.4
194	-0.641538	21.903042	2.071159	0.025986	3.0
195	-0.644137	21.688678	2.081559	0.034722	3.5
196	-0.637429	22.475910	2.043868	0.012623	3.0
197	-0.642518	22.709282	2.032955	0.033299	3.4
198	-0.651635	23.254704	2.007900	0.021373	3.4
199	-0.632800	24.019477	1.973791	0.014931	3.4
200	-0.637646	23.736012	1.986297	0.016341	3.3
201	-0.674114	23.815704	1.982765	0.018985	3.1
202	-0.618476	23.509724	1.996396	0.013350	3.4
203	-0.671362	23.377885	2.002327	0.012810	2.9
204	-0.632101	23.262338	2.007554	0.019399	3.0
205	-0.622976	23.136670	2.013270	0.015158	3.6
206	-0.638686	23.434569	1.999772	0.021050	3.5
207	-0.651228	23.149256	2.012696	0.013105	3.4
208	-0.637865	23.488909	1.997330	0.022524	3.4
209	-0.637214	23.538743	1.995095	0.016774	3.5
210	-0.663804	23.579940	1.993251	0.036407	3.0
211	-0.678238	24.077261	1.971260	0.011116	3.0
212	-0.631322	23.740681	1.986090	0.017891	3.5
213	-0.638250	23.819287	1.982607	0.020081	3.6
214	-0.635029	24.148268	1.968160	0.022476	3.0
215	-0.628834	24.712816	1.943854	0.013094	3.5
216	-0.625124	25.061300	1.929147	0.021673	3.4
217	-0.621780	24.847542	1.938141	0.021110	3.5
218	-0.624527	25.347806	1.917222	0.013234	2.6
219	-0.638929	25.158501	1.925085	0.027654	3.0
220	-0.640599	25.564339	1.908306	0.023031	3.1
221	-0.623720	25.696094	1.902922	0.029164	3.3
222	-0.644433	26.298014	1.878705	0.013658	3.4
223	-0.644302	26.785327	1.859546	0.026592	3.4
224	-0.644563	26.522273	1.869839	0.027588	2.9
225	-0.652676	26.102058	1.886521	0.029393	3.5
226	-0.645571	26.819858	1.858203	0.015808	3.3
227	-0.636969	26.434450	1.873301	0.010549	3.5
228	-0.647365	26.245799	1.880781	0.017373	3.4
229	-0.660343	26.068997	1.887846	0.034006	3.4
230	-0.635218	25.621035	1.905986	0.029034	3.5
231	-0.647594	26.540299	1.869130	0.017282	3.0
232	-0.632878	27.176834	1.844435	0.013981	3.6
233	-0.651549	27.272795	1.840768	0.022683	3.6
234	-0.649829	27.213098	1.843047	0.004816	3.3
235	-0.623261	27.086293	1.847907	0.026681	3.3
236	-0.607670	27.110481	1.846978	0.007155	3.3
237	-0.661852	27.280665	1.840468	0.016121	3.4
238	-0.668631	27.286283	1.840254	0.015298	3.3
239	-0.676197	27.394942	1.836122	0.006762	3.5
240	-0.619785	27.511921	1.831695	0.022561	3.3
241	-0.650114	27.437127	1.834523	0.015527	3.3
242	-0.624175	27.691388	1.824943	0.020127	3.4
243	-0.652852	28.025042	1.812523	0.012358	2.9
244	-0.632847	27.928217	1.816110	0.006426	3.5
245	-0.637661	27.892223	1.817447	0.014189	3.0
246	-0.641093	27.863740	1.818506	0.026363	2.9
247	-0.642692	28.299421	1.802435	0.038478	3.3
248	-0.647054	27.768190	1.822069	0.022021	3.4
249	-0.629914	28.405667	1.798559	0.047668	2.9
250	-0.637670	27.936499	1.815803	0.024943	3.0
251	-0.639417	27.413648	1.835413	0.015548	3.4
252	-0.636370	27.048586	1.849358	0.011654	3.3
253	-0.633480	27.285861	1.840270	0.009771	3.6
254	-0.657297	27.436550	1.834545	0.021589	3.4
255	-0.652857	27.235852	1.842178	0.049807	3.2
